,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
0,mvc-12905,Fe4O8,FeO2,1.0,0.5973251022946642,1.0,0.7096774193548387,1.0,0.6305707612332754,1.0,0.5680497662714284,1.269
1,mp-24,C8,C,1.0,0.9977003520886094,1.0,1.0,1.0,0.6315940829465717,1.0,0.6352613505569881,2.778500000000001
2,mp-25,N8,N2,1.0,0.9999252452220904,1.0,1.0,1.0,0.6394297169301255,1.0,0.8673936298508388,7.4563999999999995
4,mp-118,P24,P,1.0,0.9994053686394103,1.0,0.9444444444444444,1.0,0.7983403285197755,1.0,0.9067445874254906,3.7308
5,mp-154,N8,N2,1.0,0.9996324348223742,1.0,0.9444444444444444,1.0,0.6492028997924905,1.0,0.8443795367008408,0.8732000000000002
6,mp-157,P4,P,1.0,0.9988498711651875,1.0,1.0,1.0,0.8027728655872071,1.0,0.8911341829639046,7.4649
7,mp-160,B12,B,1.0,0.9913348695015033,1.0,1.0,1.0,0.6588582125443178,1.0,0.852736791003518,0.11509999999999998
8,mp-181,K3Ga9,KGa3,1.0,0.9280482407903534,1.0,1.0,1.0,0.8221009706286817,1.0,0.9779872611338333,1.5219000000000005
9,mp-189,Si4Ru4,SiRu,1.0,0.7994284206297442,1.0,1.0,1.0,0.7292039917578073,1.0,0.9638038000576782,0.6231
11,mp-209,Er8Se12,Er2Se3,1.0,0.9985365215210366,1.0,1.0,1.0,0.7041712818392771,1.0,0.872230370715389,0.8723000000000001
12,mp-216,Sc16O24,Sc2O3,1.0,0.9901009892077876,1.0,0.9375,1.0,0.7156503869465652,1.0,0.9370040844649764,1.3585999999999998
14,mp-226,Fe4S8,FeS2,1.0,0.9332054307933716,1.0,0.974169741697417,1.0,0.7807833287476125,1.0,0.9674909908938629,3.8775000000000004
15,mp-230,Sb8O16,SbO2,1.0,0.9294150998042306,1.0,0.974169741697417,1.0,0.7957080520553816,1.0,0.9423238059177242,0.45730000000000004
17,mp-241,Cd1F2,CdF2,1.0,0.9970772634066745,1.0,0.7058823529411765,1.0,0.6825880158597609,1.0,0.9781639488634716,2.9471000000000003
20,mp-254,Nd6F18,NdF3,1.0,0.9320183807071929,1.0,0.9375,1.0,0.5345930380634871,1.0,0.8574901811877701,2.2113000000000005
22,mp-267,Te4Ru2,Te2Ru,1.0,0.9256973878250426,1.0,1.0,1.0,0.7892982329797974,1.0,0.9647577029863231,0.11019999999999985
23,mp-277,Zr12N16,Zr3N4,1.0,0.8902943581617772,1.0,0.9651162790697675,1.0,0.6324696708281982,1.0,0.7993339574760416,0.3194999999999997
24,mp-282,Ti1F2,TiF2,1.0,0.5765268913936563,1.0,0.7058823529411765,1.0,0.6102235514687603,1.0,0.9459526823252543,1.2735999999999992
25,mp-286,Yb1Se1,YbSe,1.0,0.9997053982930314,1.0,0.9714285714285714,1.0,0.8261279761619149,1.0,0.9857960982670081,0.4421999999999997
26,mp-288,Pt2S2,PtS,1.0,0.9942724482596325,1.0,1.0,1.0,0.6464065576318286,1.0,0.730347607038173,2.0324999999999998
29,mp-306,B6O9,B2O3,1.0,0.9643155130904342,1.0,1.0,1.0,0.6274193340741013,1.0,0.8881313825166908,0.3117000000000001
